,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode
272,2023-02-06T00:00:00,727.85,731.3,709.1,711.05,1202963,JSWSTEEL,11723
273,2023-02-07T00:00:00,708.0,720.65,706.1,714.1,1946683,JSWSTEEL,11723
274,2023-02-08T00:00:00,717.8,736.0,712.55,731.95,1793312,JSWSTEEL,11723
275,2023-02-09T00:00:00,733.0,737.4,722.45,723.75,956700,JSWSTEEL,11723
276,2023-02-10T00:00:00,722.0,726.65,712.0,718.95,997205,JSWSTEEL,11723
277,2023-02-13T00:00:00,716.0,727.7,715.0,718.05,863438,JSWSTEEL,11723
278,2023-02-14T00:00:00,721.65,726.0,715.45,723.85,931784,JSWSTEEL,11723
279,2023-02-15T00:00:00,720.1,728.6,720.1,727.15,859372,JSWSTEEL,11723
280,2023-02-16T00:00:00,730.8,731.45,723.95,727.95,649802,JSWSTEEL,11723
281,2023-02-17T00:00:00,726.0,735.9,725.4,728.4,1142716,JSWSTEEL,11723
282,2023-02-20T00:00:00,728.4,733.0,721.4,723.35,606435,JSWSTEEL,11723
283,2023-02-21T00:00:00,730.0,736.0,717.3,720.1,1749017,JSWSTEEL,11723
284,2023-02-22T00:00:00,720.1,723.25,695.0,699.95,1810091,JSWSTEEL,11723
285,2023-02-23T00:00:00,701.9,714.3,700.1,701.3,1824396,JSWSTEEL,11723
286,2023-02-24T00:00:00,705.0,706.75,677.2,685.0,2142286,JSWSTEEL,11723
287,2023-02-27T00:00:00,684.5,685.0,665.85,680.5,1814311,JSWSTEEL,11723
288,2023-02-28T00:00:00,683.95,683.95,664.9,667.2,1915622,JSWSTEEL,11723
289,2023-03-01T00:00:00,668.0,678.8,668.0,676.7,1464537,JSWSTEEL,11723
290,2023-03-02T00:00:00,680.15,683.7,673.6,675.1,1091983,JSWSTEEL,11723
291,2023-03-03T00:00:00,681.5,686.0,676.05,682.3,1084202,JSWSTEEL,11723
292,2023-03-06T00:00:00,683.5,683.8,673.35,674.25,1215223,JSWSTEEL,11723
293,2023-03-08T00:00:00,670.0,677.0,664.0,675.4,1539129,JSWSTEEL,11723
294,2023-03-09T00:00:00,677.1,691.95,672.55,680.2,6336933,JSWSTEEL,11723
295,2023-03-10T00:00:00,668.25,681.35,666.1,679.4,5369878,JSWSTEEL,11723
296,2023-03-13T00:00:00,682.8,691.45,673.05,675.6,1602921,JSWSTEEL,11723
297,2023-03-14T00:00:00,678.0,682.8,667.7,672.05,1555671,JSWSTEEL,11723
298,2023-03-15T00:00:00,681.0,684.8,674.7,679.65,1173429,JSWSTEEL,11723
299,2023-03-16T00:00:00,675.2,675.7,649.05,662.4,2512474,JSWSTEEL,11723
300,2023-03-17T00:00:00,670.0,678.0,664.5,676.4,1667707,JSWSTEEL,11723
301,2023-03-20T00:00:00,672.9,672.9,660.0,668.15,1480884,JSWSTEEL,11723
302,2023-03-21T00:00:00,671.5,671.5,662.0,665.75,1133592,JSWSTEEL,11723
303,2023-03-22T00:00:00,666.0,671.25,660.05,662.25,949388,JSWSTEEL,11723
304,2023-03-23T00:00:00,661.9,670.8,658.25,667.8,1099501,JSWSTEEL,11723
