,Datetime,ScripName,V15D_SD,V30D_SD,V45D_SD,R03D_DR,R15D_DR,R30D_DR,R45D_DR,K,D,oversold,overbought,weighted_vol,weighted_daily_return,stochastic_signal
21,2024-12-18,SHRIRAMFIN,0.018822247737668385,0.019247460343265566,0.020699959602627493,-0.02645295685252423,-0.0036334250634102614,-0.00426482520739191,-0.004070863196602224,3.853150322473985,41.26156578140744,0,0,0.019282832631779642,-0.015213214800082774,0
22,2024-12-18,KOTAKBANK,0.009948052275612004,0.009985629137780337,0.010373509178529024,-0.0029678534163138956,0.0008299095308622253,0.001321828757432464,-0.0005134761635009372,60.3424657534246,81.25835484084446,0,0,0.010040659028629075,-0.0011049266668481039,0
23,2024-12-18,HDFCBANK,0.007614453346408553,0.011915099891008266,0.01141487533900957,-0.008157508341679684,-0.0007052251221090741,-7.034511056596959e-05,0.0003261143637773546,55.476190476190474,77.9648546653991,0,0,0.0092346670538487,-0.0042012567809971155,0
24,2024-12-18,AXISBANK,0.00924392931459887,0.009918164841731065,0.011710905766796422,-0.005008100059468554,-0.00042742991611423477,0.00020648908445613338,-0.001338863773401972,28.179551122194464,39.21446384039906,0,0,0.00987217171046482,-0.0026821245734060944,0
25,2024-12-18,NTPC,0.01315559229538043,0.015006152175906076,0.014209887762031843,-0.01319975870228566,-0.005794875147040188,-0.007879668671993086,-0.006650463445436191,6.451612903225852,19.309209221124444,1,0,0.013736563364815844,-0.009999834459493102,0
26,2024-12-18,TECHM,0.011595782184235699,0.013732217347464576,0.014652986320416334,-0.0018567153827245692,0.0014822633935816516,0.002348101858863565,3.3813789412914794e-05,65.53171641791042,74.99999999999999,0,0,0.012634510044117602,-0.00015890326193194977,0
27,2024-12-18,SBILIFE,0.01532646889879436,0.01382800000789249,0.015157864620709527,-0.006785665326825584,-0.00444602501923513,-0.004544481694192068,-0.00518923100052207,10.605444941080828,19.016659894351886,1,0,0.014993054264997018,-0.005709857106150438,0
28,2024-12-18,CIPLA,0.014013078642906445,0.012988521110255231,0.011639175632945389,-0.00015586907859517726,-0.0034111344817272108,-0.0037525684691058344,-0.004805368566137567,21.536624203821596,19.957537154989378,0,0,0.013333386534383991,-0.0019912119860779546,0
29,2024-12-18,GRASIM,0.01647860534746123,0.01463805113709008,0.015836586803613894,-0.011640386752111626,-0.001367436213949616,0.0003546869326657786,-0.0011067525363691608,25.403450194768883,58.50491560007412,0,0,0.015982090796617533,-0.006133418485949497,0
30,2024-12-18,HINDUNILVR,0.01197209550443094,0.012004985302126493,0.01337679921886086,-0.0016123320894277987,-0.0018777698261422625,-0.0024722737937711583,-0.0036957807513330054,14.487117160914021,19.308053800032486,1,0,0.012259614206856034,-0.002045752843829884,0
31,2024-12-18,LT,0.013029512809193691,0.01348662654434378,0.01363860071931179,-0.0098470781262184,0.0014653721962545072,0.0008019290657683256,0.0002009313926796162,52.405602923264276,67.67661388550547,0,0,0.01324275313824733,-0.004449985671436673,0
32,2024-12-18,TATACONSUM,0.014716121077299919,0.014844277068311634,0.015558147342642234,-0.00907640051871347,-0.005174261879280245,-0.004232495422340598,-0.004642374924193392,6.413612565444998,19.166856362394793,1,0,0.014910157528570726,-0.006883789212100242,0
33,2024-12-18,WIPRO,0.012163772746117575,0.012624818500358192,0.014349007538485916,0.0005625011986379684,0.0017697742900711522,0.0018131969052054822,0.000103646607231391,82.64375876577846,84.33847592332863,0,1,0.012693028855439365,0.0010082094990974504,0
34,2024-12-18,TITAN,0.0137937208077978,0.014463997916234709,0.014516063486583769,-0.008307719817887,0.0027621948451137636,0.003200921159324557,-0.00046224088623956404,64.77254840232959,78.92334330237678,0,0,0.014072244765242374,-0.0030074607966797916,0
35,2024-12-18,BPCL,0.010635789095058973,0.013871572893424175,0.015725690426682905,-0.015324444190319614,-0.0028923188824673345,-0.0038913987228107847,-0.005566501818289023,18.414322250639493,41.687979539641994,0,0,0.0123009261210568,-0.009575615798044331,0
36,2024-12-18,INFY,0.01147073130354833,0.01266394124000571,0.012843328210904314,0.001269316921511442,0.0028192248801043405,0.0029120871168046803,0.0012656773589735104,82.56934306569335,87.73722627737224,0,1,0.011983892672311003,0.0019074885960348761,0
37,2024-12-18,SUNPHARMA,0.009007073176748428,0.01216479390998358,0.012263292023851693,-0.005656072912387803,-0.002939703846439075,-0.003811648491714654,-0.004565033603990889,60.45119705340692,74.30939226519334,0,0,0.010289861092816112,-0.004634810284223736,0
38,2024-12-18,TCS,0.010412421746956134,0.015615372508601226,0.014051053664507701,-0.004384013567687054,0.0015014808028123155,0.002812889049177461,0.0015313000175230154,44.39431913116136,70.24784182678927,0,0,0.012180738282795466,-0.00117600281169327,0
39,2024-12-18,MARUTI,0.009203832995540636,0.01027627087593053,0.01291052232478976,-0.005831934594200114,-0.0006710318849210315,-0.0004326820266852083,-0.003654506050729114,45.199303207295614,68.4017442156544,0,0,0.01015965843746844,-0.0035021606844942163,0
40,2024-12-18,HCLTECH,0.010468691708191336,0.011670678573010535,0.01333171831194679,-1.744058854399183e-05,0.0036464348303906213,0.002062576275058812,0.0006923188838745815,79.86990756590201,85.98201980605263,0,0,0.011281694401906267,0.001202313815205349,0
41,2024-12-18,COALINDIA,0.008436011105843801,0.010209100969343715,0.012340407472517101,-0.011713852658188223,-0.005837772736472493,-0.00624675665459054,-0.006923677535794162,3.765690376568946,24.616457461645755,0,0,0.009571508351878442,-0.008966199960886136,0
42,2024-12-18,ULTRACEMCO,0.016411024948611103,0.01650937585859829,0.015495700608927814,-0.006962160205220578,0.004099714491453354,0.0038981334391521385,0.002262711437088114,69.8947453976511,83.51087296145288,0,0,0.016247630262671883,-0.0016552393727803788,0
